# Chunk-averaged data for fix densityRegions3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 50 4724.000000000001
  1 0.01 314.363 1.01976
  2 0.03 191.113 0.608733
  3 0.05 81.325 0.247999
  4 0.07 15.8625 0.04049
  5 0.09 3.9875 0.0052326
  6 0.11 3.7875 0.00462908
  7 0.13 3.5375 0.00432353
  8 0.15 3.7375 0.00456797
  9 0.17 3.6625 0.00447631
  10 0.19 3.4375 0.00420131
  11 0.21 3.3875 0.0041402
  12 0.23 3.65 0.00446103
  13 0.25 3.2625 0.00398743
  14 0.27 3.45 0.00421659
  15 0.29 3.5875 0.00438464
  16 0.31 3.55 0.00433881
  17 0.33 3.45 0.00421659
  18 0.35 3.8 0.00464436
  19 0.37 3.9 0.00476658
  20 0.39 3.35 0.00409437
  21 0.41 3.8 0.00464436
  22 0.43 3.6875 0.00450686
  23 0.45 3.35 0.00409437
  24 0.47 3.7125 0.00453742
  25 0.49 3.575 0.00436937
  26 0.51 3.275 0.00400271
  27 0.53 3.275 0.00400271
  28 0.55 3.4125 0.00417076
  29 0.57 3.325 0.00431241
  30 0.59 20 0.0557944
  31 0.61 95.5375 0.296858
  32 0.63 249.413 0.794506
  33 0.65 339.863 1.10376
  34 0.67 341.388 1.12192
  35 0.69 338.738 1.13415
  36 0.71 336.275 1.13542
  37 0.73 324.975 1.1007
  38 0.75 281.338 0.953761
  39 0.77 173.975 0.590494
  40 0.79 32.775 0.111735
  41 0.81 0.6875 0.00219372
  42 0.83 0.125 0.000152775
  43 0.85 0.1125 0.000137498
  44 0.87 0.9875 0.00316805
  45 0.89 37.375 0.127218
  46 0.91 176.075 0.598281
  47 0.93 275.913 0.933485
  48 0.95 328.463 1.10433
  49 0.97 338.7 1.12549
  50 0.99 339.675 1.11911
200000 50 4723.999999999999
  1 0.01 102.513 0.326375
  2 0.03 10.7625 0.0301964
  3 0.05 1.475 0.00196847
  4 0.07 1.575 0.00192497
  5 0.09 1.45 0.00177219
  6 0.11 1.375 0.00168053
  7 0.13 1.6875 0.00206246
  8 0.15 1.5 0.0018333
  9 0.17 1.4625 0.00178747
  10 0.19 1.625 0.00198608
  11 0.21 1.6625 0.00203191
  12 0.23 1.375 0.00168053
  13 0.25 1.325 0.00161942
  14 0.27 1.45 0.00177219
  15 0.29 1.325 0.00161942
  16 0.31 1.4125 0.00172636
  17 0.33 1.3875 0.0016958
  18 0.35 1.4125 0.00172636
  19 0.37 1.7125 0.00209302
  20 0.39 1.425 0.00174164
  21 0.41 1.65 0.00201663
  22 0.43 1.675 0.00204719
  23 0.45 1.725 0.0021083
  24 0.47 1.8 0.00219996
  25 0.49 1.6 0.00195552
  26 0.51 1.625 0.00198608
  27 0.53 1.6625 0.00203191
  28 0.55 1.625 0.00198608
  29 0.57 1.525 0.00186386
  30 0.59 1.275 0.00155831
  31 0.61 1.625 0.00228991
  32 0.63 29.5625 0.0908218
  33 0.65 206.5 0.669911
  34 0.67 330.825 1.07584
  35 0.69 343.763 1.12074
  36 0.71 343.675 1.13019
  37 0.73 343.288 1.13621
  38 0.75 337.5 1.1291
  39 0.77 334.95 1.12463
  40 0.79 225.95 0.756798
