# Chunk-averaged data for fix densityRegions1 and group condensate
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 50 4374.000000000001
  1 0.01 287.613 0.987063
  2 0.03 169.775 0.582654
  3 0.05 67.25 0.230797
  4 0.07 9.55 0.0327748
  5 0.09 0.1625 0.000557687
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0 0
  9 0.17 0 0
  10 0.19 0 0
  11 0.21 0 0
  12 0.23 0 0
  13 0.25 0 0
  14 0.27 0 0
  15 0.29 0 0
  16 0.31 0 0
  17 0.33 0 0
  18 0.35 0 0
  19 0.37 0 0
  20 0.39 0 0
  21 0.41 0 0
  22 0.43 0 0
  23 0.45 0 0
  24 0.47 0 0
  25 0.49 0 0
  26 0.51 0 0
  27 0.53 0 0
  28 0.55 0 0
  29 0.57 0.1125 0.000386091
  30 0.59 14.1875 0.0486904
  31 0.61 81.5 0.279701
  32 0.63 221.6 0.760513
  33 0.65 311.525 1.06913
  34 0.67 318.9 1.09444
  35 0.69 325.9 1.11846
  36 0.71 327.838 1.12511
  37 0.73 318.375 1.09264
  38 0.75 276.012 0.947253
  39 0.77 171 0.586858
  40 0.79 32.4375 0.111323
  41 0.81 0.6125 0.00210205
  42 0.83 0 0
  43 0.85 0 0
  44 0.87 0.8875 0.00304583
  45 0.89 36.9 0.126638
  46 0.91 173.363 0.594966
  47 0.93 269.838 0.92606
  48 0.95 318.088 1.09165
  49 0.97 322 1.10508
  50 0.99 318.575 1.09332
200000 50 4374.000000000001
  1 0.01 91 0.312305
  2 0.03 7.7125 0.0264687
  3 0.05 0.075 0.000257394
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0 0
  9 0.17 0 0
  10 0.19 0 0
  11 0.21 0 0
  12 0.23 0 0
  13 0.25 0 0
  14 0.27 0 0
  15 0.29 0 0
  16 0.31 0 0
  17 0.33 0 0
  18 0.35 0 0
  19 0.37 0 0
  20 0.39 0 0
  21 0.41 0 0
  22 0.43 0 0
  23 0.45 0 0
  24 0.47 0 0
  25 0.49 0 0
  26 0.51 0 0
  27 0.53 0 0
  28 0.55 0 0
  29 0.57 0 0
  30 0.59 0 0
  31 0.61 0.1375 0.000471889
  32 0.63 24.75 0.08494
  33 0.65 188.95 0.648461
  34 0.67 303.887 1.04292
  35 0.69 317.05 1.08809
  36 0.71 321.375 1.10293
  37 0.73 324.312 1.11301
  38 0.75 324.3 1.11297
  39 0.77 323.688 1.11087
  40 0.79 217.513 0.746485
  41 0.81 49.275 0.169108
  42 0.83 4.8 0.0164732
  43 0.85 10.0875 0.0346195
  44 0.87 84.35 0.289482
  45 0.89 252.275 0.865787
  46 0.91 324.8 1.11469
  47 0.93 321.35 1.10285
  48 0.95 319.2 1.09547
  49 0.97 310.038 1.06402
  50 0.99 253.075 0.868533
300000 50 4374.000000000002
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0 0
  9 0.17 0 0
  10 0.19 0 0
  11 0.21 0 0
  12 0.23 0 0
  13 0.25 0 0
  14 0.27 0 0
  15 0.29 0 0
  16 0.31 0 0
  17 0.33 0 0
  18 0.35 0 0
  19 0.37 0 0
  20 0.39 0 0
  21 0.41 0 0
  22 0.43 0 0
  23 0.45 0 0
  24 0.47 0 0
  25 0.49 0 0
  26 0.51 0 0
  27 0.53 0 0
  28 0.55 0 0
  29 0.57 0 0
  30 0.59 0 0
  31 0.61 0 0
  32 0.63 0 0
  33 0.65 0.2625 0.000900879
  34 0.67 25.8125 0.0885864
  35 0.69 231.4 0.794146
  36 0.71 323.95 1.11177
  37 0.73 317.025 1.088
  38 0.75 318.725 1.09384
  39 0.77 321.312 1.10272
  40 0.79 321.15 1.10216
  41 0.81 325.7 1.11778
  42 0.83 320.213 1.09894
  43 0.85 324.138 1.11241
  44 0.87 321.5 1.10336
  45 0.89 320.225 1.09899
  46 0.91 316.175 1.08509
  47 0.93 318.938 1.09457
  48 0.95 237.038 0.813494
  49 0.97 30.15 0.103472
  50 0.99 0.2875 0.000986677
400000 50 4374
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0 0
  9 0.17 0 0
  10 0.19 0 0
  11 0.21 0 0
  12 0.23 0 0
  13 0.25 0 0
  14 0.27 0 0
  15 0.29 0 0
  16 0.31 0 0
  17 0.33 0 0
  18 0.35 0 0
  19 0.37 0 0
  20 0.39 0 0
  21 0.41 0 0
  22 0.43 0 0
  23 0.45 0 0
  24 0.47 0 0
  25 0.49 0 0
  26 0.51 0 0
  27 0.53 0 0
  28 0.55 0 0
  29 0.57 0 0
  30 0.59 0 0
  31 0.61 0 0
  32 0.63 0.0125 4.2899e-05
  33 0.65 0.5 0.00171596
  34 0.67 35.975 0.123463
  35 0.69 232.8 0.798951
  36 0.71 318.013 1.09139
  37 0.73 317.288 1.08891
  38 0.75 318.725 1.09384
  39 0.77 321.788 1.10435
  40 0.79 321.163 1.1022
  41 0.81 321.925 1.10482
  42 0.83 318.075 1.09161
  43 0.85 320.975 1.10156
  44 0.87 321.8 1.10439
  45 0.89 322.213 1.10581
  46 0.91 321 1.10165
  47 0.93 321.55 1.10353
  48 0.95 231.95 0.796034
  49 0.97 28.0625 0.0963082
  50 0.99 0.1875 0.000643485
500000 50 4374.000000000001
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0 0
  9 0.17 0 0
  10 0.19 0 0
  11 0.21 0 0
  12 0.23 0 0
  13 0.25 0 0
  14 0.27 0 0
  15 0.29 0 0
  16 0.31 0 0
  17 0.33 0 0
  18 0.35 0 0
  19 0.37 0 0
  20 0.39 0 0
  21 0.41 0 0
  22 0.43 0 0
  23 0.45 0 0
  24 0.47 0 0
  25 0.49 0 0
  26 0.51 0 0
  27 0.53 0 0
  28 0.55 0 0
  29 0.57 0 0
  30 0.59 0 0
  31 0.61 0 0
  32 0.63 0 0
  33 0.65 0.4875 0.00167306
  34 0.67 34.375 0.117972
  35 0.69 229.75 0.788483
  36 0.71 322.7 1.10748
  37 0.73 317 1.08792
  38 0.75 319.1 1.09513
  39 0.77 319.525 1.09658
  40 0.79 324.188 1.11259
  41 0.81 319.85 1.0977
  42 0.83 321.05 1.10182
  43 0.85 321.25 1.1025
  44 0.87 324.562 1.11387
  45 0.89 321.213 1.10238
  46 0.91 322.7 1.10748
  47 0.93 324.725 1.11443
  48 0.95 225.388 0.773512
  49 0.97 26.0375 0.0893586
  50 0.99 0.1 0.000343192
600000 50 4374
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0 0
  9 0.17 0 0
  10 0.19 0 0
  11 0.21 0 0
  12 0.23 0 0
  13 0.25 0 0
  14 0.27 0 0
  15 0.29 0 0
  16 0.31 0 0
  17 0.33 0 0
  18 0.35 0 0
  19 0.37 0 0
  20 0.39 0 0
  21 0.41 0 0
  22 0.43 0 0
