# Chunk-averaged data for fix densityRegions2 and group drug
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 50 350.00000000000006
  1 0.01 26.75 0.0326939
  2 0.03 21.3375 0.0260787
  3 0.05 14.075 0.0172025
  4 0.07 6.3125 0.00771514
  5 0.09 3.825 0.00467492
  6 0.11 3.7875 0.00462908
  7 0.13 3.5375 0.00432353
  8 0.15 3.7375 0.00456797
  9 0.17 3.6625 0.00447631
  10 0.19 3.4375 0.00420131
  11 0.21 3.3875 0.0041402
  12 0.23 3.65 0.00446103
  13 0.25 3.2625 0.00398743
  14 0.27 3.45 0.00421659
  15 0.29 3.5875 0.00438464
  16 0.31 3.55 0.00433881
  17 0.33 3.45 0.00421659
  18 0.35 3.8 0.00464436
  19 0.37 3.9 0.00476658
  20 0.39 3.35 0.00409437
  21 0.41 3.8 0.00464436
  22 0.43 3.6875 0.00450686
  23 0.45 3.35 0.00409437
  24 0.47 3.7125 0.00453742
  25 0.49 3.575 0.00436937
  26 0.51 3.275 0.00400271
  27 0.53 3.275 0.00400271
  28 0.55 3.4125 0.00417076
  29 0.57 3.2125 0.00392632
  30 0.59 5.8125 0.00710404
  31 0.61 14.0375 0.0171566
  32 0.63 27.8125 0.0339925
  33 0.65 28.3375 0.0346341
  34 0.67 22.4875 0.0274842
  35 0.69 12.8375 0.01569
  36 0.71 8.4375 0.0103123
  37 0.73 6.6 0.00806652
  38 0.75 5.325 0.00650822
  39 0.77 2.975 0.00363605
  40 0.79 0.3375 0.000412493
  41 0.81 0.075 9.1665e-05
  42 0.83 0.125 0.000152775
  43 0.85 0.1125 0.000137498
  44 0.87 0.1 0.00012222
  45 0.89 0.475 0.000580545
  46 0.91 2.7125 0.00331522
  47 0.93 6.075 0.00742487
  48 0.95 10.375 0.0126803
  49 0.97 16.7 0.0204108
  50 0.99 21.1 0.0257884
200000 50 350
  1 0.01 11.5125 0.0140706
  2 0.03 3.05 0.00372771
  3 0.05 1.4 0.00171108
  4 0.07 1.575 0.00192497
  5 0.09 1.45 0.00177219
  6 0.11 1.375 0.00168053
  7 0.13 1.6875 0.00206246
  8 0.15 1.5 0.0018333
  9 0.17 1.4625 0.00178747
  10 0.19 1.625 0.00198608
  11 0.21 1.6625 0.00203191
  12 0.23 1.375 0.00168053
  13 0.25 1.325 0.00161942
  14 0.27 1.45 0.00177219
  15 0.29 1.325 0.00161942
  16 0.31 1.4125 0.00172636
  17 0.33 1.3875 0.0016958
  18 0.35 1.4125 0.00172636
  19 0.37 1.7125 0.00209302
  20 0.39 1.425 0.00174164
  21 0.41 1.65 0.00201663
  22 0.43 1.675 0.00204719
  23 0.45 1.725 0.0021083
  24 0.47 1.8 0.00219996
  25 0.49 1.6 0.00195552
  26 0.51 1.625 0.00198608
  27 0.53 1.6625 0.00203191
  28 0.55 1.625 0.00198608
  29 0.57 1.525 0.00186386
  30 0.59 1.275 0.00155831
  31 0.61 1.4875 0.00181802
  32 0.63 4.8125 0.00588184
  33 0.65 17.55 0.0214496
  34 0.67 26.9375 0.032923
  35 0.69 26.7125 0.032648
  36 0.71 22.3 0.0272551
  37 0.73 18.975 0.0231913
  38 0.75 13.2 0.016133
  39 0.77 11.2625 0.013765
  40 0.79 8.4375 0.0103123
  41 0.81 2.125 0.00259718
  42 0.83 0.575 0.000702765
  43 0.85 0.9875 0.00120692
  44 0.87 4.2625 0.00520963
  45 0.89 11.925 0.0145747
  46 0.91 18.225 0.0222746
  47 0.93 20.425 0.0249634
  48 0.95 25.8 0.0315328
  49 0.97 30.425 0.0371855
  50 0.99 26.2875 0.0321286
300000 50 350
  1 0.01 0.9625 0.00117637
  2 0.03 0.85 0.00103887
  3 0.05 1.0625 0.00129859
  4 0.07 0.8625 0.00105415
  5 0.09 0.875 0.00106943
  6 0.11 0.925 0.00113054
  7 0.13 1.0125 0.00123748
  8 0.15 0.9875 0.00120692
  9 0.17 0.975 0.00119165
  10 0.19 1.225 0.0014972
  11 0.21 1.1875 0.00145136
  12 0.23 1.4125 0.00172636
  13 0.25 1.125 0.00137498
  14 0.27 1.1375 0.00139025
  15 0.29 1.2625 0.00154303
  16 0.31 1.475 0.00180275
  17 0.33 1.2125 0.00148192
  18 0.35 1.275 0.00155831
  19 0.37 1.075 0.00131387
  20 0.39 1.0625 0.00129859
  21 0.41 1.05 0.00128331
  22 0.43 0.9 0.00109998
  23 0.45 0.95 0.00116109
  24 0.47 1.0375 0.00126803
  25 0.49 0.875 0.00106943
  26 0.51 0.825 0.00100832
  27 0.53 0.8125 0.000993038
  28 0.55 1.2125 0.00148192
  29 0.57 0.925 0.00113054
  30 0.59 1.1 0.00134442
  31 0.61 1 0.0012222
  32 0.63 1 0.0012222
  33 0.65 1.2 0.00146664
  34 0.67 4.025 0.00491936
  35 0.69 17.95 0.0219385
  36 0.71 25.4125 0.0310592
  37 0.73 23.05 0.0281717
  38 0.75 22.3375 0.0273009
  39 0.77 20.8625 0.0254982
  40 0.79 20.7 0.0252996
  41 0.81 19.4875 0.0238176
  42 0.83 20.6125 0.0251926
  43 0.85 20.925 0.0255745
  44 0.87 22.4375 0.0274231
  45 0.89 23.6375 0.0288898
  46 0.91 27.25 0.033305
  47 0.93 25.275 0.0308911
  48 0.95 16.4 0.0200441
  49 0.97 3.6125 0.0044152
  50 0.99 1.175 0.00143609
400000 50 350
  1 0.01 0.875 0.00106943
  2 0.03 0.8125 0.000993038
  3 0.05 1.1625 0.00142081
  4 0.07 1.0625 0.00129859
  5 0.09 1.1 0.00134442
  6 0.11 1.0375 0.00126803
  7 0.13 0.975 0.00119165
  8 0.15 1.1625 0.00142081
  9 0.17 1.1875 0.00145136
  10 0.19 1.275 0.00155831
  11 0.21 1.125 0.00137498
  12 0.23 1.25 0.00152775
  13 0.25 1.25 0.00152775
  14 0.27 1.3375 0.00163469
  15 0.29 1.625 0.00198608
  16 0.31 1.5125 0.00184858
  17 0.33 1.3625 0.00166525
  18 0.35 1.075 0.00131387
  19 0.37 1.275 0.00155831
  20 0.39 1.05 0.00128331
  21 0.41 1.2375 0.00151247
  22 0.43 1.3875 0.0016958
  23 0.45 1.5625 0.00190969
  24 0.47 1.1125 0.0013597
  25 0.49 1.1625 0.00142081
  26 0.51 1.05 0.00128331
  27 0.53 1.325 0.00161942
  28 0.55 1.0875 0.00132914
  29 0.57 1.1125 0.0013597
  30 0.59 0.9125 0.00111526
  31 0.61 1.0625 0.00129859
  32 0.63 1.1 0.00134442
  33 0.65 1.025 0.00125276
  34 0.67 4.0625 0.00496519
  35 0.69 17.95 0.0219385
  36 0.71 22.1875 0.0271176
  37 0.73 23.5375 0.0287675
  38 0.75 24.15 0.0295161
  39 0.77 25.825 0.0315633
  40 0.79 23.1375 0.0282787
  41 0.81 20.9375 0.0255898
  42 0.83 22.275 0.0272245
  43 0.85 22.9875 0.0280953
  44 0.87 22.2875 0.0272398
  45 0.89 20.5375 0.0251009
  46 0.91 20.4 0.0249329
  47 0.93 21.875 0.0267356
  48 0.95 15.1 0.0184552
  49 0.97 3.2 0.00391104
  50 0.99 0.9 0.00109998
500000 50 350.00000000000006
  1 0.01 0.775 0.000947205
  2 0.03 0.8125 0.000993038
  3 0.05 0.85 0.00103887
  4 0.07 0.85 0.00103887
  5 0.09 0.975 0.00119165
  6 0.11 0.8375 0.00102359
  7 0.13 0.975 0.00119165
  8 0.15 0.7375 0.000901373
  9 0.17 0.9875 0.00120692
  10 0.19 0.9625 0.00117637
  11 0.21 0.85 0.00103887
  12 0.23 1.0125 0.00123748
  13 0.25 1.1 0.00134442
  14 0.27 0.9375 0.00114581
  15 0.29 0.7375 0.000901373
  16 0.31 1.0625 0.00129859
  17 0.33 0.8375 0.00102359
  18 0.35 0.9875 0.00120692
  19 0.37 1.3875 0.0016958
  20 0.39 1.025 0.00125276
  21 0.41 0.7875 0.000962483
  22 0.43 0.9625 0.00117637
  23 0.45 0.875 0.00106943
  24 0.47 0.925 0.00113054
  25 0.49 1.0875 0.00132914
  26 0.51 1.1375 0.00139025
  27 0.53 0.8125 0.000993038
  28 0.55 1.0625 0.00129859
  29 0.57 1.2 0.00146664
  30 0.59 0.8625 0.00105415
  31 0.61 1.1 0.00134442
  32 0.63 1.0375 0.00126803
  33 0.65 0.8625 0.00105415
  34 0.67 4.1875 0.00511797
  35 0.69 18.2625 0.0223204
  36 0.71 25.9875 0.0317619
  37 0.73 25.625 0.0313189
  38 0.75 26.0125 0.0317925
  39 0.77 22.9375 0.0280342
  40 0.79 21.6125 0.0264148
  41 0.81 23.7 0.0289662
  42 0.83 23.2875 0.028462
  43 0.85 20.8 0.0254218
  44 0.87 22.2375 0.0271787
  45 0.89 19.9125 0.0243371
  46 0.91 20.2625 0.0247648
  47 0.93 22.6125 0.027637
  48 0.95 16.925 0.0206857
  49 0.97 3.1875 0.00389576
  50 0.99 1.0375 0.00126803
600000 50 350.00000000000006
  1 0.01 0.8 0.00097776
  2 0.03 1.175 0.00143609
  3 0.05 1 0.0012222
  4 0.07 1.025 0.00125276
  5 0.09 1.2125 0.00148192
  6 0.11 1.225 0.0014972
  7 0.13 1.15 0.00140553
  8 0.15 1.175 0.00143609
  9 0.17 1.2375 0.00151247
  10 0.19 1.1875 0.00145136
  11 0.21 0.9875 0.00120692
  12 0.23 0.9125 0.00111526
  13 0.25 1.175 0.00143609
  14 0.27 0.975 0.00119165
  15 0.29 0.95 0.00116109
  16 0.31 1.1625 0.00142081
  17 0.33 1.075 0.00131387
  18 0.35 1.15 0.00140553
  19 0.37 1.1 0.00134442
  20 0.39 1.1625 0.00142081
  21 0.41 1.15 0.00140553
  22 0.43 1.125 0.00137498
  23 0.45 0.975 0.00119165
  24 0.47 0.9625 0.00117637
  25 0.49 0.9 0.00109998
  26 0.51 0.975 0.00119165
  27 0.53 0.95 0.00116109
  28 0.55 1.0375 0.00126803
  29 0.57 1.2 0.00146664
  30 0.59 1.05 0.00128331
  31 0.61 1.075 0.00131387
  32 0.63 1.225 0.0014972
  33 0.65 1.05 0.00128331
  34 0.67 4.0875 0.00499574
  35 0.69 17.775 0.0217246
  36 0.71 26.85 0.0328161
  37 0.73 24.05 0.0293939
  38 0.75 23.525 0.0287523
  39 0.77 25.05 0.0306161
  40 0.79 22.125 0.0270412
  41 0.81 20.25 0.0247496
  42 0.83 21.05 0.0257273
  43 0.85 22.95 0.0280495
  44 0.87 21.0625 0.0257426
  45 0.89 21.9375 0.026812
  46 0.91 21.8625 0.0267204
  47 0.93 21.15 0.0258495
  48 0.95 16.3625 0.0199983
  49 0.97 3.475 0.00424715
  50 0.99 0.925 0.00113054
700000 50 350.0000000000001
  1 0.01 0.7375 0.000901373
  2 0.03 0.7125 0.000870818
  3 0.05 0.8875 0.0010847
  4 0.07 0.825 0.00100832
  5 0.09 1 0.0012222
  6 0.11 0.85 0.00103887
  7 0.13 0.6 0.00073332
  8 0.15 0.7625 0.000931928
  9 0.17 0.725 0.000886095
  10 0.19 0.7 0.00085554
  11 0.21 0.7375 0.000901373
  12 0.23 0.75 0.00091665
  13 0.25 0.725 0.000886095
  14 0.27 0.8875 0.0010847
  15 0.29 0.725 0.000886095
  16 0.31 0.975 0.00119165
  17 0.33 0.75 0.00091665
  18 0.35 0.9 0.00109998
  19 0.37 1.0625 0.00129859
  20 0.39 0.8125 0.000993038
  21 0.41 0.9125 0.00111526
  22 0.43 0.875 0.00106943
  23 0.45 0.7875 0.000962483
  24 0.47 0.925 0.00113054
  25 0.49 0.675 0.000824985
  26 0.51 0.975 0.00119165
  27 0.53 0.9875 0.00120692
  28 0.55 0.775 0.000947205
  29 0.57 0.75 0.00091665
  30 0.59 0.7625 0.000931928
  31 0.61 0.6625 0.000809708
  32 0.63 0.8875 0.0010847
  33 0.65 0.7 0.00085554
  34 0.67 3.4125 0.00417076
  35 0.69 18.425 0.022519
  36 0.71 25.1125 0.0306925
  37 0.73 26.7625 0.0327091
  38 0.75 27.0875 0.0331064
  39 0.77 25.5375 0.0312119
  40 0.79 22.7625 0.0278203
  41 0.81 23.3125 0.0284926
  42 0.83 21.85 0.0267051
  43 0.85 22.45 0.0274384
  44 0.87 20.5375 0.0251009
  45 0.89 20.6 0.0251773
  46 0.91 22.3125 0.0272704
  47 0.93 24.9875 0.0305397
  48 0.95 14.3 0.0174775
  49 0.97 2.9125 0.00355966
  50 0.99 0.8375 0.00102359
800000 50 350.0000000000001
  1 0.01 0.7 0.00085554
  2 0.03 0.65 0.00079443
  3 0.05 0.75 0.00091665
  4 0.07 0.675 0.000824985
  5 0.09 0.825 0.00100832
  6 0.11 0.9125 0.00111526
  7 0.13 0.925 0.00113054
  8 0.15 1.025 0.00125276
  9 0.17 0.9 0.00109998
  10 0.19 0.9125 0.00111526
  11 0.21 1.0625 0.00129859
  12 0.23 1.175 0.00143609
  13 0.25 1.225 0.0014972
  14 0.27 0.9375 0.00114581
  15 0.29 0.9375 0.00114581
  16 0.31 0.925 0.00113054
  17 0.33 0.9375 0.00114581
  18 0.35 0.95 0.00116109
  19 0.37 1.1375 0.00139025
  20 0.39 0.8125 0.000993038
  21 0.41 0.725 0.000886095
  22 0.43 0.8 0.00097776
  23 0.45 0.625 0.000763875
  24 0.47 0.9125 0.00111526
  25 0.49 0.925 0.00113054
  26 0.51 0.8 0.00097776
  27 0.53 0.6875 0.000840263
  28 0.55 1.05 0.00128331
  29 0.57 0.7125 0.000870818
  30 0.59 0.8 0.00097776
  31 0.61 0.825 0.00100832
  32 0.63 0.7875 0.000962483
  33 0.65 0.6875 0.000840263
  34 0.67 2.8125 0.00343744
  35 0.69 13.5125 0.016515
  36 0.71 21.3375 0.0260787
  37 0.73 24.775 0.03028
  38 0.75 26.75 0.0326939
  39 0.77 25.475 0.0311356
